Image_ID,Transformation,Intensite,Algo,Distance
1,Resize_Standard,0,pHash,31
1,Resize_Standard,0,dHash,41
1,Resize_Standard,0,wHash,32
1,Resize_Standard,5,aHash,0
1,Resize_Standard,5,pHash,0
1,Resize_Standard,5,dHash,1
1,Resize_Standard,5,wHash,0
1,Resize_Standard,10,aHash,0
1,Resize_Standard,10,pHash,0
1,Resize_Standard,10,dHash,0
1,Resize_Standard,10,wHash,0
1,Resize_Standard,15,aHash,0
1,Resize_Standard,15,pHash,0
1,Resize_Standard,15,dHash,0
1,Resize_Standard,15,wHash,0
1,Resize_Standard,20,aHash,0
1,Resize_Standard,20,pHash,0
1,Resize_Standard,20,dHash,0
1,Resize_Standard,20,wHash,0
1,Resize_Standard,25,aHash,0
1,Resize_Standard,25,pHash,0
1,Resize_Standard,25,dHash,0
1,Resize_Standard,25,wHash,0
1,Resize_Standard,30,aHash,0
1,Resize_Standard,30,pHash,0
1,Resize_Standard,30,dHash,0
1,Resize_Standard,30,wHash,0
1,Resize_Standard,35,aHash,0
1,Resize_Standard,35,pHash,0
1,Resize_Standard,35,dHash,0
1,Resize_Standard,35,wHash,0
1,Resize_Standard,40,aHash,0
1,Resize_Standard,40,pHash,0
1,Resize_Standard,40,dHash,0
1,Resize_Standard,40,wHash,0
1,Resize_Standard,45,aHash,0
1,Resize_Standard,45,pHash,0
1,Resize_Standard,45,dHash,0
1,Resize_Standard,45,wHash,0
1,Resize_Standard,50,aHash,0
1,Resize_Standard,50,pHash,0
1,Resize_Standard,50,dHash,0
1,Resize_Standard,50,wHash,0
1,Resize_Standard,55,aHash,0
1,Resize_Standard,55,pHash,0
1,Resize_Standard,55,dHash,0
1,Resize_Standard,55,wHash,0
1,Resize_Standard,60,aHash,0
1,Resize_Standard,60,pHash,0
1,Resize_Standard,60,dHash,0
1,Resize_Standard,60,wHash,0
1,Resize_Standard,65,aHash,0
1,Resize_Standard,65,pHash,0
1,Resize_Standard,65,dHash,0
1,Resize_Standard,65,wHash,0
1,Resize_Standard,70,aHash,0
1,Resize_Standard,70,pHash,0
1,Resize_Standard,70,dHash,0
1,Resize_Standard,70,wHash,0
1,Resize_Standard,75,aHash,0
1,Resize_Standard,75,pHash,0
1,Resize_Standard,75,dHash,0
1,Resize_Standard,75,wHash,0
1,Resize_Standard,80,aHash,0
1,Resize_Standard,80,pHash,0
1,Resize_Standard,80,dHash,0
1,Resize_Standard,80,wHash,0
1,Resize_Standard,85,aHash,0
1,Resize_Standard,85,pHash,0
1,Resize_Standard,85,dHash,0
1,Resize_Standard,85,wHash,0
1,Resize_Standard,90,aHash,0
1,Resize_Standard,90,pHash,0
1,Resize_Standard,90,dHash,0
1,Resize_Standard,90,wHash,0
1,Resize_Standard,95,aHash,0
1,Resize_Standard,95,pHash,0
1,Resize_Standard,95,dHash,0
1,Resize_Standard,95,wHash,0
1,Resize_Standard,100,aHash,0
1,Resize_Standard,100,pHash,0
1,Resize_Standard,100,dHash,0
1,Resize_Standard,100,wHash,0
