Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_hash_size,Param_mode,Distance_Hamming,Similarite_Pct
faces,0,Occlusion_50,Occlusion,50,wHash,4,db4,12,88.0
faces,0,Occlusion_50,Occlusion,50,wHash,4,sym5,12,91.66666666666667
faces,0,Occlusion_50,Occlusion,50,wHash,4,coif1,14,78.125
faces,0,Occlusion_50,Occlusion,50,wHash,8,haar,30,53.125
faces,0,Occlusion_50,Occlusion,50,wHash,8,db4,46,76.53061224489795
faces,0,Occlusion_50,Occlusion,50,wHash,8,sym5,44,82.8125
faces,0,Occlusion_50,Occlusion,50,wHash,8,coif1,42,70.83333333333333
faces,0,Occlusion_50,Occlusion,50,wHash,16,haar,122,52.34375
faces,0,Occlusion_50,Occlusion,50,wHash,16,db4,174,64.0495867768595
faces,0,Occlusion_50,Occlusion,50,wHash,16,sym5,164,71.52777777777777
faces,0,Occlusion_50,Occlusion,50,wHash,16,coif1,160,60.0
faces,0,Occlusion_50,Occlusion,50,wHash,32,haar,554,45.8984375
faces,0,Occlusion_50,Occlusion,50,wHash,32,db4,648,55.12465373961219
faces,0,Occlusion_50,Occlusion,50,wHash,32,sym5,568,62.656147271531886
faces,0,Occlusion_50,Occlusion,50,wHash,32,coif1,556,57.098765432098766
faces,0,Occlusion_75,Occlusion,75,wHash,4,haar,6,62.5
faces,0,Occlusion_75,Occlusion,75,wHash,4,db4,20,80.0
faces,0,Occlusion_75,Occlusion,75,wHash,4,sym5,16,88.88888888888889
faces,0,Occlusion_75,Occlusion,75,wHash,4,coif1,14,78.125
faces,0,Occlusion_75,Occlusion,75,wHash,8,haar,36,43.75
faces,0,Occlusion_75,Occlusion,75,wHash,8,db4,60,69.38775510204081
faces,0,Occlusion_75,Occlusion,75,wHash,8,sym5,66,74.21875
faces,0,Occlusion_75,Occlusion,75,wHash,8,coif1,62,56.94444444444444
faces,0,Occlusion_75,Occlusion,75,wHash,16,haar,146,42.96875
faces,0,Occlusion_75,Occlusion,75,wHash,16,db4,246,49.17355371900827
faces,0,Occlusion_75,Occlusion,75,wHash,16,sym5,216,62.5
faces,0,Occlusion_75,Occlusion,75,wHash,16,coif1,212,47.0
faces,0,Occlusion_75,Occlusion,75,wHash,32,haar,553,45.99609375
faces,0,Occlusion_75,Occlusion,75,wHash,32,db4,858,40.581717451523545
faces,0,Occlusion_75,Occlusion,75,wHash,32,sym5,786,48.32347140039448
faces,0,Occlusion_75,Occlusion,75,wHash,32,coif1,713,44.98456790123457
faces,1,Original,Original,0,wHash,4,haar,0,100.0
faces,1,Original,Original,0,wHash,4,db4,0,100.0
faces,1,Original,Original,0,wHash,4,sym5,0,100.0
faces,1,Original,Original,0,wHash,4,coif1,0,100.0
