Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,1,Original,Original,0,12,dHash,0,100.0
faces,1,Original,Original,0,16,aHash,0,100.0
faces,1,Original,Original,0,16,dHash,0,100.0
faces,1,Original,Original,0,24,aHash,0,100.0
faces,1,Original,Original,0,24,dHash,0,100.0
faces,1,Original,Original,0,32,aHash,0,100.0
faces,1,Original,Original,0,32,dHash,0,100.0
faces,1,Compression_90,Compression,90,4,aHash,0,100.0
faces,1,Compression_90,Compression,90,4,dHash,0,100.0
faces,1,Compression_90,Compression,90,6,aHash,0,100.0
faces,1,Compression_90,Compression,90,6,dHash,0,100.0
faces,1,Compression_90,Compression,90,8,aHash,0,100.0
faces,1,Compression_90,Compression,90,8,dHash,0,100.0
faces,1,Compression_90,Compression,90,12,aHash,0,100.0
faces,1,Compression_90,Compression,90,12,dHash,0,100.0
faces,1,Compression_90,Compression,90,16,aHash,0,100.0
faces,1,Compression_90,Compression,90,16,dHash,3,98.828125
faces,1,Compression_90,Compression,90,24,aHash,0,100.0
faces,1,Compression_90,Compression,90,24,dHash,9,98.4375
faces,1,Compression_90,Compression,90,32,aHash,0,100.0
faces,1,Compression_90,Compression,90,32,dHash,22,97.8515625
faces,1,Compression_75,Compression,75,4,aHash,0,100.0
faces,1,Compression_75,Compression,75,4,dHash,0,100.0
faces,1,Compression_75,Compression,75,6,aHash,0,100.0
faces,1,Compression_75,Compression,75,6,dHash,0,100.0
faces,1,Compression_75,Compression,75,8,aHash,0,100.0
faces,1,Compression_75,Compression,75,8,dHash,0,100.0
faces,1,Compression_75,Compression,75,12,aHash,0,100.0
faces,1,Compression_75,Compression,75,12,dHash,0,100.0
faces,1,Compression_75,Compression,75,16,aHash,0,100.0
faces,1,Compression_75,Compression,75,16,dHash,4,98.4375
faces,1,Compression_75,Compression,75,24,aHash,0,100.0
faces,1,Compression_75,Compression,75,24,dHash,17,97.04861111111111
faces,1,Compression_75,Compression,75,32,aHash,1,99.90234375
faces,1,Compression_75,Compression,75,32,dHash,32,96.875
